Time Stamp,Region,Latitude,Longitude,Density,zipcode
07-19-2021,Acton,34.4807415,-118.1868379,0.017633378458120727,93510
07-19-2021,Adams-Normandie,34.0317877,-118.30024660000001,0.06593169044530912,90018
07-19-2021,Agoura Hills,34.147909999999996,-118.76570420000002,0.036988110964332896,91301
07-19-2021,Alhambra,34.093042,-118.12706000000001,0.08087098932023158,91801
07-19-2021,Alsace,33.9879995,-118.3476199,0.1372433524065971,90043
07-19-2021,Altadena,34.1863161,-118.13523290000002,0.06386721308407718,91104
07-19-2021,Angeles National Forest,34.3216546,-118.019201,0.25,93543
07-19-2021,Angelino Heights,34.070288899999994,-118.25479650000001,0.12360939431396785,90026
07-19-2021,Arcadia,34.136207500000005,-118.0401497,0.04928675451371221,91007
07-19-2021,Arleta,34.2413266,-118.4322047,0.2119481595455084,91402
07-19-2021,Artesia,33.8690197,-118.0796195,0.12863247863247862,90701
07-19-2021,Atwater Village,34.1163979,-118.25646370000001,0.0994994171295344,90039
07-19-2021,Avalon,33.342209999999994,-118.3272612,0.004709965294992563,90274
07-19-2021,Azusa,34.1338751,-117.90560459999999,0.13434156912417786,91722
07-19-2021,Baldwin Hills,34.01098870000001,-118.3370709,0.09778050526746446,90008
07-19-2021,Baldwin Park,34.0854739,-117.96117609999999,0.17495021956140466,91706
07-19-2021,Bel Air,34.0827278,-118.44798020000002,0.050185873605947964,90077
07-19-2021,Bell,33.9747806,-118.1866361,0.18706962509563888,90201
07-19-2021,Bell Gardens,33.9694561,-118.1503953,0.1251819072792611,90201
07-19-2021,Bellflower,33.8825705,-118.1167679,0.14460951880094666,90706
07-19-2021,Beverly Crest,34.1167701,-118.43226070000001,0.05767814775423383,90210
07-19-2021,Beverly Hills,34.0696501,-118.3963062,0.08291007734041325,90212
07-19-2021,Beverlywood,34.045933399999996,-118.39492,0.07683298196298899,90035
07-19-2021,Boyle Heights,34.0436892,-118.20976840000002,0.20765155974102412,90033
07-19-2021,Bradbury,34.1469511,-117.97089820000001,0.030757097791798107,91008
07-19-2021,Brentwood,34.0521403,-118.4740699,0.05572445127451308,90404
07-19-2021,Brookside,34.0536909,-118.2427666,0.05362776025236593,90079
07-19-2021,Burbank,34.181648200000005,-118.3258554,0.08815382264165361,91506
07-19-2021,Cadillac-Corning,33.973951,-118.248405,0.10870206489675516,90001
07-19-2021,Calabasas,34.144664299999995,-118.6440973,0.051821427200491335,91302
07-19-2021,Canoga Park,34.2010776,-118.5978259,0.15347997635820515,91303
07-19-2021,Canyon Country,34.42332929999999,-118.4720281,0.01153622062536415,91351
07-19-2021,Carson,33.832204299999994,-118.2517547,0.08879097459490545,90745
07-19-2021,Carthay,34.061121299999996,-118.3672997,0.07375081824132665,90211
07-19-2021,Castaic,34.488882200000006,-118.6228656,0.13489849955869376,91354
07-19-2021,Central,34.0536909,-118.2427666,0.20728622934940535,90079
07-19-2021,Century City,34.057426299999996,-118.4147267,0.053411989795918366,90067
07-19-2021,Century Palms/Cove,34.062844,-118.41581299999999,0.19759237482205852,90067
07-19-2021,Cerritos,33.8644291,-118.05393229999999,0.048204158790170135,90703
07-19-2021,Chatsworth,34.2595715,-118.6023247,0.1072445785510843,91304
07-19-2021,Cheviot Hills,34.0405878,-118.4098875,0.05309638028783253,90034
07-19-2021,Chinatown,34.0638402,-118.23586759999999,0.07819782496116003,90012
07-19-2021,Claremont,34.0966764,-117.71977849999999,0.06423337856173678,91767
07-19-2021,Cloverdale/Cochran,34.062323,-118.34615500000001,0.11736322997232668,90036
07-19-2021,Commerce,34.002581,-118.156586,0.19184614161964555,90040
07-19-2021,Compton,33.894927,-118.226624,0.17104829230756222,90222
07-19-2021,Country Club Park,34.050289,-118.3211871,0.10885520268879896,90005
07-19-2021,Covina,34.1024,-117.85486499999999,0.13229936292768313,91740
07-19-2021,Crenshaw District,34.0611479,-118.31942190000001,0.1111924456481956,90005
07-19-2021,Crestview,34.0621851,-118.4250119,0.09680340487186452,90024
07-19-2021,Cudahy,33.9620584,-118.1835395,0.20005783212161268,90201
07-19-2021,Culver City,34.021122399999996,-118.3964665,0.04844744728768775,90232
07-19-2021,Del Rey,33.9896527,-118.4243437,0.07136608344549125,90094
07-19-2021,Diamond Bar,34.02862260000001,-117.81033670000001,0.058168641798098976,91789
07-19-2021,Downey,33.942215000000004,-118.1235646,0.15661930744831346,90241
07-19-2021,Downtown,34.0428494,-118.24767320000001,0.10828502898261044,90014
07-19-2021,Duarte,34.1394513,-117.97728729999999,0.0750805964134596,91016
07-19-2021,Eagle Rock,34.1366877,-118.20767959999999,0.09798029942779506,90041
07-19-2021,East Hollywood,34.0904277,-118.2966254,0.11856807344672975,90029
07-19-2021,East Los Angeles,34.0239015,-118.17201570000002,0.1982675119108556,90022
07-19-2021,Echo Park,34.0779819,-118.2567824,0.09855340981971067,90026
07-19-2021,El Monte,34.0751571,-118.036849,0.1530358320510002,91731
07-19-2021,El Segundo,33.917028,-118.4156337,0.040984216795711736,90245
07-19-2021,El Sereno,34.0811213,-118.17784950000001,0.15513126491646778,90032
07-19-2021,Elysian Park,34.0774343,-118.23862040000002,0.09011925042589436,90031
07-19-2021,Elysian Valley,34.095912799999994,-118.24203259999999,0.13220913989223707,90065
07-19-2021,Encino,34.1591324,-118.50161659999999,0.08229290075640207,91316
07-19-2021,Exposition,34.013653999999995,-118.2872106,0.11200476616026214,90037
07-19-2021,Exposition Park,34.013653999999995,-118.2872106,0.14528021915306472,90037
07-19-2021,Faircrest Heights,33.275839000000005,-96.991881,0.07498047383493882,76227
